consumption  | 2026-01-07T18:15:05.427222421Z timestamp=2026-01-07T18:15:05.426964075Z level=info service=consumption message="Starting consumption service"
consumption  | 2026-01-07T18:15:05.427723632Z timestamp=2026-01-07T18:15:05.427554062Z level=info service=consumption message="Metrics initialized successfully"
consumption  | 2026-01-07T18:15:05.427763927Z timestamp=2026-01-07T18:15:05.427611171Z level=info service=internal message="Tracing is explicitly disabled via OTEL_TRACES_EXPORTER=none"
consumption  | 2026-01-07T18:15:05.427849407Z timestamp=2026-01-07T18:15:05.42776552Z level=info service=consumption message="OpenTelemetry initialized with OTLP exporter at "
consumption  | 2026-01-07T18:15:05.481699703Z timestamp=2026-01-07T18:15:05.481430487Z level=info service=consumption message="Connecting to Redis"
consumption  | 2026-01-07T18:15:05.482323097Z timestamp=2026-01-07T18:15:05.482086861Z level=info service=internal message="Connecting to Redis at redis:6379"
consumption  | 2026-01-07T18:15:05.488187818Z timestamp=2026-01-07T18:15:05.487226561Z level=info service=internal message="Connected to Redis"
consumption  | 2026-01-07T18:15:05.491954196Z timestamp=2026-01-07T18:15:05.487376113Z level=info service=consumption message="Redis stream client connected successfully"
consumption  | 2026-01-07T18:15:05.492469814Z timestamp=2026-01-07T18:15:05.487403465Z level=info service=consumption message="Initializing northbound REST API"
consumption  | 2026-01-07T18:15:05.492495332Z timestamp=2026-01-07T18:15:05.487708717Z level=info service=consumption message="Starting northbound REST API server on :8080"
consumption  | 2026-01-07T18:15:05.492535128Z timestamp=2026-01-07T18:15:05.488511958Z level=info service=consumption message="Starting outbox cleanup"
consumption  | 2026-01-07T18:15:05.492545294Z timestamp=2026-01-07T18:15:05.488927727Z level=info service=consumption message="Starting device event consumer" stream_name=event.device stream_action=consume
consumption  | 2026-01-07T18:15:05.492553164Z timestamp=2026-01-07T18:15:05.490058554Z level=info service=consumption message="Starting pending message retry mechanism (continuous)" stream_name=event.device stream_action=consume
consumption  | 2026-01-07T18:15:05.492992692Z timestamp=2026-01-07T18:15:05.491330099Z level=info service=consumption message="Metrics server listening on :9464/metrics"
device       | 2026-01-07T18:15:06.365466839Z timestamp=2026-01-07T18:15:06.3642382Z level=info service=device message="Starting device service"
device       | 2026-01-07T18:15:06.365624706Z timestamp=2026-01-07T18:15:06.364792762Z level=info service=device message="Metrics initialized successfully"
device       | 2026-01-07T18:15:06.365647558Z timestamp=2026-01-07T18:15:06.364922444Z level=info service=internal message="Tracing is explicitly disabled via OTEL_TRACES_EXPORTER=none"
device       | 2026-01-07T18:15:06.365655761Z timestamp=2026-01-07T18:15:06.365056423Z level=info service=device message="OpenTelemetry initialized with OTLP exporter at "
device       | 2026-01-07T18:15:06.413975274Z timestamp=2026-01-07T18:15:06.413116052Z level=info service=device message="Device repository initialized"
device       | 2026-01-07T18:15:06.414057346Z timestamp=2026-01-07T18:15:06.41316557Z level=info service=device message="Initializing dynamic security service"
device       | 2026-01-07T18:15:06.414067327Z timestamp=2026-01-07T18:15:06.413185291Z level=info service=device message="Connecting to MQTT broker for dynamic security on southbound mqtt" port=8883 protocol=tls broker=mosquitto
device       | 2026-01-07T18:15:06.414075457Z timestamp=2026-01-07T18:15:06.413267197Z level=info service=device message="Configuring TLS for MQTT connection on southbound mqtt"
device       | 2026-01-07T18:15:06.414082808Z timestamp=2026-01-07T18:15:06.413280697Z level=info service=device message="Loading CA certificate from /certs/ca.crt on southbound mqtt"
device       | 2026-01-07T18:15:06.414089938Z timestamp=2026-01-07T18:15:06.413511488Z level=info service=device message="CA certificate loaded successfully on southbound mqtt"
device       | 2026-01-07T18:15:06.414096808Z timestamp=2026-01-07T18:15:06.413524543Z level=info service=device message="No edge node certificate required on southbound mqtt - using CA-only server verification"
device       | 2026-01-07T18:15:06.414103771Z timestamp=2026-01-07T18:15:06.413534376Z level=info service=device message="TLS configuration created successfully on southbound mqtt"
device       | 2026-01-07T18:15:06.414111104Z timestamp=2026-01-07T18:15:06.413545931Z level=info service=device message="Connecting to MQTT broker at tls://mosquitto:8883"
device       | 2026-01-07T18:15:06.476858183Z timestamp=2026-01-07T18:15:06.476499024Z level=info service=device message="MQTT OnConnect handler called on southbound mqtt"
device       | 2026-01-07T18:15:06.480357031Z timestamp=2026-01-07T18:15:06.479577363Z level=info service=device message="Connected to MQTT broker"
device       | 2026-01-07T18:15:06.481256603Z timestamp=2026-01-07T18:15:06.48110257Z level=info service=device message="Connected to MQTT broker and subscribed on southbound mqtt" response_topic=$CONTROL/dynamic-security/v1/response
device       | 2026-01-07T18:15:06.481435284Z timestamp=2026-01-07T18:15:06.48136373Z level=info service=device message="Provisioning device service user: device-service"
device       | 2026-01-07T18:15:06.525417135Z timestamp=2026-01-07T18:15:06.524858314Z level=info service=device message="Creating device service role on southbound mqtt" role_name=device_service_role
device       | 2026-01-07T18:15:06.568875756Z timestamp=2026-01-07T18:15:06.568569615Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=2 response_count=1
device       | 2026-01-07T18:15:06.581940983Z timestamp=2026-01-07T18:15:06.568795887Z level=info service=device message="Device service role created successfully on southbound mqtt" role_name=device_service_role
device       | 2026-01-07T18:15:06.582064535Z timestamp=2026-01-07T18:15:06.571488475Z level=info service=device message="Adding subscribe ACLs for device service role on southbound mqtt" role_name=device_service_role count=4
device       | 2026-01-07T18:15:06.620855224Z timestamp=2026-01-07T18:15:06.620544601Z level=info service=device message="Command executed successfully on southbound mqtt" response_count=4 command_id=3
device       | 2026-01-07T18:15:06.620989091Z timestamp=2026-01-07T18:15:06.620597656Z level=info service=device message="Adding publish ACLs for device service role on southbound mqtt" role_name=device_service_role count=6
device       | 2026-01-07T18:15:06.668834781Z timestamp=2026-01-07T18:15:06.66858012Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=4 response_count=6
device       | 2026-01-07T18:15:06.668907909Z timestamp=2026-01-07T18:15:06.668634545Z level=info service=device message="Checking if device service client exists on southbound mqtt" username=device-service
device       | 2026-01-07T18:15:06.669063035Z timestamp=2026-01-07T18:15:06.66866547Z level=info service=device message="Listing clients on southbound mqtt" command_id=5
device       | 2026-01-07T18:15:06.714455521Z timestamp=2026-01-07T18:15:06.712546063Z level=info service=device message="Creating device service client with role on southbound mqtt" username=device-service role_name=device_service_role
device       | 2026-01-07T18:15:06.757694147Z timestamp=2026-01-07T18:15:06.756480933Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=6 response_count=1
device       | 2026-01-07T18:15:06.757833218Z timestamp=2026-01-07T18:15:06.757367376Z level=info service=device message="Device service client created successfully with role on southbound mqtt" username=device-service
device       | 2026-01-07T18:15:06.757854532Z timestamp=2026-01-07T18:15:06.757396505Z level=info service=device message="Successfully provisioned device service on southbound mqtt" username=device-service
device       | 2026-01-07T18:15:06.757864236Z timestamp=2026-01-07T18:15:06.757407839Z level=info service=device message="Device service user provisioned successfully"
device       | 2026-01-07T18:15:06.757872754Z timestamp=2026-01-07T18:15:06.757427283Z level=info service=device message="Provisioning shared devices_any_role for batch devices"
device       | 2026-01-07T18:15:06.800700334Z timestamp=2026-01-07T18:15:06.800470746Z level=info service=device message="Creating devices any role on southbound mqtt" role_name=devices_any_role
device       | 2026-01-07T18:15:06.844615945Z timestamp=2026-01-07T18:15:06.844378691Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=8 response_count=1
device       | 2026-01-07T18:15:06.844696332Z timestamp=2026-01-07T18:15:06.84443056Z level=info service=device message="Devices any role created successfully on southbound mqtt" role_name=devices_any_role
device       | 2026-01-07T18:15:06.844707091Z timestamp=2026-01-07T18:15:06.844444412Z level=info service=device message="Adding subscribe ACLs for devices any role on southbound mqtt" count=7 role_name=devices_any_role
device       | 2026-01-07T18:15:06.896667837Z timestamp=2026-01-07T18:15:06.896466693Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=9 response_count=7
device       | 2026-01-07T18:15:06.896747946Z timestamp=2026-01-07T18:15:06.896512026Z level=info service=device message="Subscribe ACLs added successfully for devices any role on southbound mqtt" role_name=devices_any_role
device       | 2026-01-07T18:15:06.896793834Z timestamp=2026-01-07T18:15:06.89652534Z level=info service=device message="Adding publish ACLs for devices any role on southbound mqtt" role_name=devices_any_role count=4
device       | 2026-01-07T18:15:06.957123338Z timestamp=2026-01-07T18:15:06.956801845Z level=info service=device message="Command executed successfully on southbound mqtt" command_id=10 response_count=4
device       | 2026-01-07T18:15:06.957214891Z timestamp=2026-01-07T18:15:06.956848344Z level=info service=device message="Publish ACLs added successfully for devices any role on southbound mqtt" role_name=devices_any_role
device       | 2026-01-07T18:15:06.957227132Z timestamp=2026-01-07T18:15:06.956861418Z level=info service=device message="Successfully provisioned devices any role on southbound mqtt" role_name=devices_any_role
device       | 2026-01-07T18:15:06.957234891Z timestamp=2026-01-07T18:15:06.956872195Z level=info service=device message="Devices any role provisioned successfully"
device       | 2026-01-07T18:15:06.957242187Z timestamp=2026-01-07T18:15:06.956953916Z level=info service=device message="Configuring TLS for MQTT connection on southbound mqtt"
device       | 2026-01-07T18:15:06.957249650Z timestamp=2026-01-07T18:15:06.956979841Z level=info service=device message="Loading CA certificate from /certs/ca.crt on southbound mqtt"
device       | 2026-01-07T18:15:06.957379165Z timestamp=2026-01-07T18:15:06.957275649Z level=info service=device message="CA certificate loaded successfully on southbound mqtt"
device       | 2026-01-07T18:15:06.957400683Z timestamp=2026-01-07T18:15:06.95730063Z level=info service=device message="No edge node certificate required on southbound mqtt - using CA-only server verification"
device       | 2026-01-07T18:15:06.957409239Z timestamp=2026-01-07T18:15:06.957311945Z level=info service=device message="TLS configuration created successfully on southbound mqtt"
device       | 2026-01-07T18:15:06.957417053Z timestamp=2026-01-07T18:15:06.9573255Z level=info service=device message="Connecting to MQTT broker at tls://mosquitto:8883"
device       | 2026-01-07T18:15:07.012591839Z timestamp=2026-01-07T18:15:07.012341381Z level=info service=device message="MQTT OnConnect handler called on southbound mqtt"
device       | 2026-01-07T18:15:07.012669133Z timestamp=2026-01-07T18:15:07.012371084Z level=info service=device message="Connected to MQTT broker"
device       | 2026-01-07T18:15:07.012679281Z timestamp=2026-01-07T18:15:07.012433102Z level=info service=internal message="Connecting to Redis at redis:6379"
device       | 2026-01-07T18:15:07.016091168Z timestamp=2026-01-07T18:15:07.015807897Z level=info service=internal message="Connected to Redis"
device       | 2026-01-07T18:15:07.016164240Z timestamp=2026-01-07T18:15:07.015848785Z level=info service=device message="Connecting to ledger gRPC service at ledger:9090 via eastwest gRPC"
device       | 2026-01-07T18:15:07.016392624Z timestamp=2026-01-07T18:15:07.016273738Z level=info service=device message="Connected to ledger service"
device       | 2026-01-07T18:15:07.016418105Z timestamp=2026-01-07T18:15:07.016307959Z level=info service=device message="Connecting to lightning gRPC service at lightning:9090 via eastwest gRPC"
device       | 2026-01-07T18:15:07.016500474Z timestamp=2026-01-07T18:15:07.016422549Z level=info service=device message="Connected to lightning service"
device       | 2026-01-07T18:15:07.016516492Z timestamp=2026-01-07T18:15:07.016435938Z level=info service=device message="Initializing northbound REST API"
device       | 2026-01-07T18:15:07.017409824Z timestamp=2026-01-07T18:15:07.017260809Z level=info service=device message="No devices found in repository to republish configs for"
device       | 2026-01-07T18:15:07.017453341Z timestamp=2026-01-07T18:15:07.017300659Z level=info service=device message="Republished configs on southbound mqtt for 0 devices in 0 pages"
device       | 2026-01-07T18:15:07.017461360Z timestamp=2026-01-07T18:15:07.017344158Z level=info service=device message="Initializing southbound interface"
device       | 2026-01-07T18:15:07.017637207Z timestamp=2026-01-07T18:15:07.017492489Z level=info service=device message="Starting northbound REST API server on :8080"
device       | 2026-01-07T18:15:07.019052417Z timestamp=2026-01-07T18:15:07.018355988Z level=info service=device message="Subscribed to topic on southbound mqtt" trace_id=242fba795c3a08fa383f9b63012a516d span_id=5e0cbe6b79fb4582 topic=/devices/+/heartbeat qos=1
device       | 2026-01-07T18:15:07.019542850Z timestamp=2026-01-07T18:15:07.01926469Z level=info service=device message="Subscribed to topic on southbound mqtt" trace_id=ddbcbdaec90461c54723737a1d9959cd span_id=f896480ae9acf94e topic=/devices/+/usage qos=1
device       | 2026-01-07T18:15:07.021594841Z timestamp=2026-01-07T18:15:07.020378665Z level=info service=device message="Subscribed to topic on southbound mqtt" trace_id=427839bb9022373012fddb6c3afd9ed7 span_id=6e68f8aa10556876 topic=/devices/+/request/authorize qos=1
device       | 2026-01-07T18:15:07.021717690Z timestamp=2026-01-07T18:15:07.021547083Z level=info service=device message="Subscribed to topic on southbound mqtt" trace_id=1349718eac96e9ee143bfa24506c7094 span_id=998a5ad6768200bf topic=/devices/+/request/invoice qos=1
device       | 2026-01-07T18:15:07.021744264Z timestamp=2026-01-07T18:15:07.021602841Z level=info service=device message="Southbound interface started - all subscriptions active on southbound mqtt"
device       | 2026-01-07T18:15:07.025169039Z timestamp=2026-01-07T18:15:07.021663803Z level=info service=device message="Device service is running. Press Ctrl+C to stop"
lightning    | 2026-01-07T18:15:05.539735388Z timestamp=2026-01-07T18:15:05.539477208Z level=info service=internal message="Tracing is explicitly disabled via OTEL_TRACES_EXPORTER=none"
device       | 2026-01-07T18:15:07.025260278Z timestamp=2026-01-07T18:15:07.021676858Z level=info service=device message="Northbound REST API available at http://localhost:8080"
device       | 2026-01-07T18:15:07.025752971Z timestamp=2026-01-07T18:15:07.021868835Z level=info service=device message="Starting lightning invoice subscriber" stream_name=event.lightning stream_action=consume
device       | 2026-01-07T18:15:07.025839895Z timestamp=2026-01-07T18:15:07.022215994Z level=info service=device message="Metrics server listening on :9464/metrics"
device       | 2026-01-07T18:15:07.025851839Z timestamp=2026-01-07T18:15:07.022268641Z level=info service=device message="Starting ledger balance subscriber" stream_name=event.ledger stream_action=consume
lightning    | 2026-01-07T18:15:05.539888606Z timestamp=2026-01-07T18:15:05.539751128Z level=info service=lightning message="OpenTelemetry initialized with OTLP exporter at "
device       | 2026-01-07T18:16:35.437900956Z timestamp=2026-01-07T18:16:35.436797611Z level=info service=device message="Device created in database" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001
lightning    | 2026-01-07T18:15:05.539922383Z timestamp=2026-01-07T18:15:05.539831682Z level=info service=lightning message="Connecting to Redis"
device       | 2026-01-07T18:16:35.437987695Z timestamp=2026-01-07T18:16:35.43685635Z level=info service=device message="Device created in database via northbound REST" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001
lightning    | 2026-01-07T18:15:05.539945753Z timestamp=2026-01-07T18:15:05.539894995Z level=info service=internal message="Connecting to Redis at redis:6379"
lightning    | 2026-01-07T18:15:05.547832521Z timestamp=2026-01-07T18:15:05.547625674Z level=info service=internal message="Connected to Redis"
device       | 2026-01-07T18:16:35.438003824Z timestamp=2026-01-07T18:16:35.436899868Z level=info service=device message="Provisioning device in dynsec via northbound REST" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001
device       | 2026-01-07T18:16:35.438053860Z timestamp=2026-01-07T18:16:35.436914775Z level=info service=device message="Provisioning device on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001
lightning    | 2026-01-07T18:15:05.547915908Z timestamp=2026-01-07T18:15:05.547768708Z level=info service=lightning message="Redis stream client connected successfully"
device       | 2026-01-07T18:16:35.438356076Z timestamp=2026-01-07T18:16:35.437995639Z level=info service=device message="Creating role on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 role_name=device_smart-meter-001_role
device       | 2026-01-07T18:16:35.484945888Z timestamp=2026-01-07T18:16:35.48438129Z level=info service=device message="Command executed successfully on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb command_id=12 response_count=1
device       | 2026-01-07T18:16:35.485023313Z timestamp=2026-01-07T18:16:35.48444127Z level=info service=device message="Role created successfully on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 role_name=device_smart-meter-001_role
device       | 2026-01-07T18:16:35.485034090Z timestamp=2026-01-07T18:16:35.484468584Z level=info service=device message="Adding publish ACLs for role on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 role_name=device_smart-meter-001_role count=4
device       | 2026-01-07T18:16:35.532596899Z timestamp=2026-01-07T18:16:35.53233409Z level=info service=device message="Command executed successfully on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb command_id=13 response_count=4
device       | 2026-01-07T18:16:35.532690638Z timestamp=2026-01-07T18:16:35.532393737Z level=info service=device message="Adding subscribe ACLs for role on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 role_name=device_smart-meter-001_role count=7
device       | 2026-01-07T18:16:35.584615517Z timestamp=2026-01-07T18:16:35.584384818Z level=info service=device message="Command executed successfully on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb command_id=14 response_count=7
lightning    | 2026-01-07T18:15:05.547932667Z timestamp=2026-01-07T18:15:05.547828244Z level=info service=lightning message="Configuration loaded" lnd_host=192.168.0.166:10001 network=testnet tls_cert=2d2d2d2d2d424547494e... macaroon=0201036c6e6402f80103...
device       | 2026-01-07T18:16:35.584701348Z timestamp=2026-01-07T18:16:35.58445928Z level=info service=device message="Listing clients on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb command_id=15
lightning    | 2026-01-07T18:15:05.548359880Z timestamp=2026-01-07T18:15:05.548221809Z level=info service=lightning message="Dialing LND host 192.168.0.166:10001 via cloud LND node"
device       | 2026-01-07T18:16:35.628485705Z timestamp=2026-01-07T18:16:35.628249969Z level=info service=device message="Creating client with role on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 client_username=smart-meter-001 role_name=device_smart-meter-001_role
lightning    | 2026-01-07T18:15:05.576619804Z timestamp=2026-01-07T18:15:05.576434901Z level=info service=lightning message="Successfully connected to LND host 192.168.0.166:10001 via cloud LND node"
device       | 2026-01-07T18:16:35.672570832Z timestamp=2026-01-07T18:16:35.672348856Z level=info service=device message="Command executed successfully on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb command_id=16 response_count=1
lightning    | 2026-01-07T18:15:05.580650362Z timestamp=2026-01-07T18:15:05.579011565Z level=info service=lightning-service message="gRPC call started: Lightning/GetInfo via eastwest gRPC" method=Lightning/GetInfo request=
device       | 2026-01-07T18:16:35.672644960Z timestamp=2026-01-07T18:16:35.67240067Z level=info service=device message="Client created successfully with role on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 client_username=smart-meter-001
device       | 2026-01-07T18:16:35.672656794Z timestamp=2026-01-07T18:16:35.672418465Z level=info service=device message="Successfully provisioned device on southbound mqtt" trace_id=bee6527a8530fbc0a9d16679969dea25 span_id=04f2ff9382a90adb device_id=smart-meter-001 client_username=smart-meter-001
